"","X","start.time","end.time","category","Nth.instance","X..descriptors","Offensive.Team","Position","Location","Tactic","Type","Hand","Result","Defense","Save.Diff","Shot.Diff","Athlete","x","y","xj","yj","distance","angle","Goal"
"1229",1229,"03:26:49:74","03:26:59:74","Shot",1229,10,"Indiana",19,"Location 3","Perimeter","Skip","Right","Goal","Pressured",3,3,NA,2,4.5,1.926346805,4.339178831,4.924428901,0.41822433,"Goal"
"1230",1230,"03:26:59:94","03:27:09:94","Shot",1230,10,"Indiana",54,"Location 5","Drive","Skip","Right","Goal","Pressured",4,2,NA,-2,3.5,-2.161243186,3.403163249,4.031128874,-0.519146114,"Goal"
"1231",1231,"03:27:10:14","03:27:20:14","Shot",1231,11,"Pacific",33,"Location 3","Perimeter","Normal","Left","Save","Contested",2,3,6,-1,5.5,-1.080169559,5.233849685,5.590169944,-0.1798535,"Not Goal"
"1232",1232,"03:27:20:34","03:27:30:34","Shot",1232,10,"Indiana",23,"Location 1","Perimeter","Skip","Right","Miss","Contested",1,4,NA,2,5.5,2.391386792,5.817191743,5.852349955,0.348771004,"Not Goal"
"1233",1233,"03:27:30:54","03:27:40:54","Shot",1233,11,"Pacific",69,"Location 6","Center","Backhand","Right","Save","Contested",1,3,16,-1,4.5,-0.902116355,4.213423539,4.609772229,-0.218668946,"Not Goal"
"1234",1234,"03:27:40:74","03:27:50:74","Shot",1234,10,"Indiana",63,"Location 4","Drive","Lob","Right","Field Block","Field Blocker",1,2,NA,-1,2.5,-1.127322854,2.454863521,2.692582404,-0.380506377,"Not Goal"
"1235",1235,"03:27:50:94","03:28:00:94","Shot",1235,10,"Indiana",66,"Location 4","Individual","Backhand","Right","Goal","Contested",4,3,NA,-1,3.5,-1.371270372,3.294527075,3.640054945,-0.278299659,"Goal"
"1236",1236,"03:28:01:15","03:28:11:15","Shot",1236,11,"Pacific",23,"Location 4","Perimeter","Normal","Right","Save","Contested",2,4,9,2,5.5,1.509648432,5.292953887,5.852349955,0.348771004,"Not Goal"
"1237",1237,"03:28:11:34","03:28:21:34","Shot",1237,11,"Pacific",51,"Location 4","Perimeter","Normal","Right","Goal","Field Blocker",3,2,16,-2,2.5,-1.784426108,2.530065844,3.201562119,-0.674740942,"Goal"
"1238",1238,"03:28:21:54","03:28:31:54","Shot",1238,10,"Long Beach",41,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",3,3,NA,-2,5.5,-2.189546428,5.109425349,5.852349955,-0.348771004,"Goal"
"1239",1239,"03:28:31:75","03:28:41:75","Shot",1239,11,"Pacific",32,"Location 5","6 on 5","Normal","Right","Field Block","Field Blocker",1,3,10,0,5.5,-0.429354326,5.819749942,5.5,0,"Not Goal"
"1240",1240,"03:28:41:95","03:28:51:95","Shot",1240,10,"Long Beach",54,"Location 4","Perimeter","Normal","Right","Save","Field Blocker",2,4,NA,-2,3.5,-2.168278469,3.943396777,4.031128874,-0.519146114,"Not Goal"
"1241",1241,"03:28:52:15","03:29:02:15","Shot",1241,10,"Long Beach",16,"Location 5","Post up","Normal","Right","Miss","Contested",1,3,NA,2,3.5,1.745955438,3.070791107,4.031128874,0.519146114,"Not Goal"
"1242",1242,"03:29:02:35","03:29:12:35","Shot",1242,11,"Pacific",16,"Location 4","6 on 5","Skip","Right","Goal","Blocker at Distance",4,2,11,2,3.5,1.785698182,3.815270022,4.031128874,0.519146114,"Goal"
"1243",1243,"03:29:12:55","03:29:22:55","Shot",1243,10,"Long Beach",33,"Location 2","Perimeter","Normal","Right","Miss","Field Blocker",1,4,NA,-1,5.5,-0.520763068,5.348670349,5.590169944,-0.1798535,"Not Goal"
"1244",1244,"03:29:22:75","03:29:32:75","Shot",1244,11,"Pacific",65,"Location 4","Center","Backhand","Right","Miss","Contested",1,3,3,0,3.5,0.475322982,3.974530204,3.5,0,"Not Goal"
"1245",1245,"03:29:32:95","03:29:42:95","Shot",1245,11,"Pacific",16,"Location 2","Quick","Normal","Right","Save","Field Blocker",2,3,16,2,3.5,2.073103269,3.062550731,4.031128874,0.519146114,"Not Goal"
"1246",1246,"03:29:43:15","03:29:53:15","Shot",1246,10,"Long Beach",61,"Location 1","Transition","Normal","Left","Goal","Pressured",4,4,NA,1,2.5,0.591678098,2.769054831,2.692582404,0.380506377,"Goal"
"1247",1247,"03:29:53:35","03:30:03:35","Shot",1247,11,"Pacific",15,"Location 6","Perimeter","Normal","Right","Save","Field Blocker",1,3,20,3,3.5,2.669053341,3.721369286,4.609772229,0.708626272,"Not Goal"
"1248",1248,"03:30:03:55","03:30:13:55","Shot",1248,10,"Long Beach",32,"Location 1","Perimeter","Skip","Right","Goal","Blocker at Distance",3,3,NA,0,5.5,-0.26768863,5.004659239,5.5,0,"Goal"
"1249",1249,"03:30:13:75","03:30:23:75","Shot",1249,10,"Long Beach",64,"Location 2","Center","Normal","Right","Save","Contested",2,3,NA,1,3.5,0.575667092,3.28684697,3.640054945,0.278299659,"Not Goal"
"1250",1250,"03:30:23:96","03:30:33:96","Shot",1250,10,"Long Beach",19,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",4,2,NA,2,4.5,2.268802696,4.871453304,4.924428901,0.41822433,"Goal"
"1251",1251,"03:30:34:16","03:30:44:16","Shot",1251,11,"Pacific",58,"Location 2","End Quarter","Lob","Left","Miss","Field Blocker",1,4,12,-3,4.5,-2.786782877,4.678296652,5.408326913,-0.588002604,"Not Goal"
