"","X","start.time","end.time","category","Nth.instance","X..descriptors","Offensive.Team","Position","Location","Tactic","Type","Hand","Result","Defense","Save.Diff","Shot.Diff","Athlete","x","y","xj","yj","distance","angle","Goal"
"775",775,"02:10:14:96","02:10:23:87","Shot",775,11,"Pacific",57,"Location 2","6 on 5","Normal","Left","Miss","Field Blocker",1,3,8,-2,4.5,-1.810928137,4.665585153,4.924428901,-0.41822433,"Not Goal"
"776",776,"02:10:23:87","02:10:32:78","Shot",776,11,"Pacific",13,"Location 2","6 on 5","Normal","Right","Miss","Field Blocker",1,3,7,2,2.5,1.86098622,2.901930509,3.201562119,0.674740942,"Not Goal"
"777",777,"02:10:32:98","02:10:42:98","Shot",777,10,"SDSU",19,"Location 4","Transition","Lob","Right","Miss","Pressured",1,3,NA,2,4.5,2.145950608,4.667857122,4.924428901,0.41822433,"Not Goal"
"778",778,"02:10:43:18","02:10:53:18","Shot",778,11,"Pacific",41,"Location 1","Perimeter","Normal","Right","Goal","Field Blocker",3,4,10,-2,5.5,-1.604391037,5.914974977,5.852349955,-0.348771004,"Goal"
"779",779,"02:10:53:38","02:11:03:38","Shot",779,10,"SDSU",51,"Location 3","Individual","Normal","Left","Goal","Pressured",4,2,NA,-2,2.5,-1.826322296,2.021154543,3.201562119,-0.674740942,"Goal"
"780",780,"02:11:03:58","02:11:13:58","Shot",780,11,"Pacific",41,"Location 4","Perimeter","Normal","Left","Save","Field Blocker",2,4,8,-2,5.5,-2.19011426,5.960127502,5.852349955,-0.348771004,"Not Goal"
"781",781,"02:11:13:79","02:11:23:79","Shot",781,10,"SDSU",19,"Location 1","6 on 5","Skip","Right","Miss","Contested",1,3,NA,2,4.5,2.186293223,4.557077651,4.924428901,0.41822433,"Not Goal"
"782",782,"02:11:23:99","02:11:33:99","Shot",782,11,"Pacific",69,"Location 4","Post up","Backhand","Left","Miss","Contested",1,4,8,-1,4.5,-1.233919985,4.832940233,4.609772229,-0.218668946,"Not Goal"
"783",783,"02:11:34:19","02:11:44:19","Shot",783,11,"Pacific",22,"Location 6","Transition","Skip","Right","Save","Pressured",2,4,5,3,5.5,2.927410935,5.155701007,6.264982043,0.499346722,"Not Goal"
"784",784,"02:11:44:39","02:11:54:39","Shot",784,11,"Pacific",23,"Location 2","6 on 5","Normal","Right","Goal","Contested",3,3,5,2,5.5,2.021563817,5.026220374,5.852349955,0.348771004,"Goal"
"785",785,"02:11:54:59","02:12:04:59","Shot",785,10,"SDSU",66,"Location 4","Post up","Normal","Left","Save","Pressured",2,3,NA,-1,3.5,-1.25132697,3.658487484,3.640054945,-0.278299659,"Not Goal"
"786",786,"02:12:04:79","02:12:14:79","Shot",786,11,"Pacific",6,"Location 3","Quick","Normal","Left","Goal","Uncontested",5,1,8,-1,1,-1.164132149,1.060699786,1.414213562,-0.785398163,"Goal"
"787",787,"02:12:14:99","02:12:24:99","Shot",787,10,"SDSU",23,"Location 4","Perimeter","Normal","Right","Field Block","Contested",1,4,NA,2,5.5,1.574094638,5.114346807,5.852349955,0.348771004,"Not Goal"
"788",788,"02:12:25:19","02:12:35:19","Shot",788,11,"Pacific",63,"Location 3","Transition","Normal","Left","Save","Contested",3,3,8,-1,2.5,-0.654376976,2.370238639,2.692582404,-0.380506377,"Not Goal"
"789",789,"02:12:35:39","02:12:45:39","Shot",789,10,"SDSU",31,"Location 2","Perimeter","Normal","Right","Goal","Field Blocker",4,1,NA,1,5.5,1.314568454,5.836704323,5.590169944,0.1798535,"Goal"
"790",790,"02:12:45:59","02:12:55:59","Shot",790,11,"Pacific",66,"Location 2","Center","Normal","Right","Goal","Contested",3,3,2,-1,3.5,-1.43214503,3.535164826,3.640054945,-0.278299659,"Goal"
"791",791,"02:12:55:79","02:13:05:79","Shot",791,10,"SDSU",52,"Location 4","6 on 5","Normal","Left","Goal","Field Blocker",3,3,NA,-3,2.5,-2.521694857,2.593313152,3.905124838,-0.876058051,"Goal"
"792",792,"02:13:05:99","02:13:15:99","Shot",792,11,"Pacific",63,"Location 4","6 on 5","Normal","Right","Goal","Pressured",4,2,15,-1,2.5,-1.181352718,2.134097977,2.692582404,-0.380506377,"Goal"
"793",793,"02:13:16:19","02:13:26:19","Shot",793,10,"SDSU",33,"Location 1","Perimeter","Skip","Right","Miss","Field Blocker",1,4,NA,-1,5.5,-1.342868045,5.511656397,5.590169944,-0.1798535,"Not Goal"
"794",794,"02:13:26:39","02:13:36:39","Shot",794,10,"SDSU",32,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",3,3,NA,0,5.5,-0.405679104,5.039898733,5.5,0,"Goal"
"795",795,"02:13:36:59","02:13:46:59","Shot",795,11,"Pacific",64,"Location 2","Drive","Skip","Right","Goal","Uncontested",5,1,15,1,3.5,1.034984974,3.468659206,3.640054945,0.278299659,"Goal"
"796",796,"02:13:46:80","02:13:56:80","Shot",796,10,"SDSU",36,"Location 3","Direct","Normal","Left","Save","Field Blocker",1,4,NA,-1,6.5,-0.521633516,6.952084902,6.576473219,-0.152649328,"Not Goal"
"797",797,"02:13:57:00","02:14:07:00","Shot",797,10,"SDSU",23,"Location 2","Direct","Normal","Right","Goal","Field Blocker",2,3,NA,2,5.5,1.843875969,5.530669328,5.852349955,0.348771004,"Goal"
"798",798,"02:14:07:20","02:14:17:20","Shot",798,11,"Pacific",67,"Location 4","Center","Normal","Right","Miss","Contested",1,4,13,1,4.5,1.009714593,4.175383042,4.609772229,0.218668946,"Not Goal"
"799",799,"02:14:17:40","02:14:27:40","Shot",799,10,"Pacific",52,"Location 2","Perimeter","Lob","Left","Save","Uncontested",2,3,8,-3,2.5,-3.163940158,2.814336014,3.905124838,-0.876058051,"Not Goal"
"800",800,"02:14:27:60","02:14:37:60","Shot",800,10,"UCI",54,"Location 5","Post up","Normal","Right","Miss","Contested",1,3,NA,-2,3.5,-2.038896621,3.800436381,4.031128874,-0.519146114,"Not Goal"
"801",801,"02:14:37:80","02:14:47:80","Shot",801,11,"Pacific",23,"Location 1","Perimeter","Skip","Right","Miss","Contested",1,4,5,2,5.5,2.328402051,5.476377368,5.852349955,0.348771004,"Not Goal"
"802",802,"02:14:48:00","02:14:58:00","Shot",802,11,"Pacific",4,"Location 2","6 on 5","Normal","Right","Goal","Pressured",5,1,2,1,1,0.793630988,1.113629662,1.414213562,0.785398163,"Goal"
"803",803,"02:14:58:20","02:15:08:20","Shot",803,10,"UCI",63,"Location 2","Post up","Normal","Right","Goal","Contested",4,2,NA,-1,2.5,-1.314774013,2.933200788,2.692582404,-0.380506377,"Goal"
"804",804,"02:15:08:40","02:15:18:40","Shot",804,10,"UCI",68,"Location 6","Transition","Backhand","Right","Save","Contested",2,3,NA,0,4.5,-0.330003075,4.784514156,4.5,0,"Not Goal"
"805",805,"02:15:18:60","02:15:28:60","Shot",805,11,"Pacific",32,"Location 5","Penalty","Skip","Right","Goal","Other",5,1,5,0,5.5,-0.462533428,5.895635237,5.5,0,"Goal"
"806",806,"02:15:28:80","02:15:38:80","Shot",806,10,"UCI",66,"Location 3","Center","Backhand","Right","Save","Contested",2,3,NA,-1,3.5,-1.158956163,3.456176994,3.640054945,-0.278299659,"Not Goal"
"807",807,"02:15:39:00","02:15:49:00","Shot",807,11,"Pacific",54,"Off Target","Perimeter","Normal","Left","Field Block","Field Blocker",1,3,8,-2,3.5,-2.318217903,3.120650843,4.031128874,-0.519146114,"Not Goal"
"808",808,"02:15:49:20","02:15:59:20","Shot",808,10,"UCI",55,"Location 4","Perimeter","Normal","Left","Save","Blocker at Distance",2,3,NA,-3,3.5,-2.792865056,3.501611449,4.609772229,-0.708626272,"Not Goal"
"809",809,"02:15:59:40","02:16:09:40","Shot",809,10,"UCI",64,"Location 5","Double Post","Normal","Right","Save","Contested",4,2,NA,1,3.5,0.793231914,3.829714051,3.640054945,0.278299659,"Not Goal"
"810",810,"02:16:09:61","02:16:19:61","Shot",810,11,"Pacific",35,"Location 2","Perimeter","Normal","Right","New Clock","Field Blocker",2,4,10,0,6.5,0.170696759,6.514014585,6.5,0,"Not Goal"
"811",811,"02:16:19:81","02:16:29:81","Shot",811,11,"Pacific",31,"Location 4","Perimeter","Normal","Right","Goal","Field Blocker",3,4,10,1,5.5,1.041974272,5.85479913,5.590169944,0.1798535,"Goal"
"812",812,"02:16:30:01","02:16:40:01","Shot",812,10,"UCI",61,"Location 3","Center","Normal","Right","Save","Contested",4,3,NA,1,2.5,0.958556706,2.352549858,2.692582404,0.380506377,"Not Goal"
"813",813,"02:16:40:21","02:16:50:21","Shot",813,11,"Pacific",57,"Location 4","Individual","Normal","Left","Miss","Field Blocker",1,4,8,-2,4.5,-2.105197452,4.981709679,4.924428901,-0.41822433,"Not Goal"
"814",814,"02:16:50:41","02:17:00:41","Shot",814,9,"UCI",35,"Location 5","Perimeter","Skip","Right","Save","Other",2,4,NA,0,6.5,-0.48766343,6.194242571,6.5,0,"Not Goal"
"815",815,"02:17:00:61","02:17:10:61","Shot",815,10,"UCI",69,"Location 2","First Wave","Normal","Right","Miss","Pressured",1,3,NA,-1,4.5,-1.119507479,4.524473437,4.609772229,-0.218668946,"Not Goal"
"816",816,"02:17:10:81","02:17:20:81","Shot",816,10,"UCI",32,"Location 4","Quick","Skip","Right","Goal","Blocker at Distance",3,3,NA,0,5.5,0.439741186,5.289119077,5.5,0,"Goal"
"817",817,"02:17:21:01","02:17:31:01","Shot",817,11,"Pacific",23,"Location 2","Direct","Normal","Right","Miss","Field Blocker",1,4,5,2,5.5,2.273662296,5.595809969,5.852349955,0.348771004,"Not Goal"
"818",818,"02:17:31:21","02:17:41:21","Shot",818,10,"UCI",54,"Location 5","Perimeter","Normal","Left","Save","Blocker at Distance",3,3,NA,-2,3.5,-1.911253929,3.998579923,4.031128874,-0.519146114,"Not Goal"
"819",819,"02:17:41:42","02:17:51:42","Shot",819,10,"UCI",32,"Location 4","Quick","Normal","Right","Goal","Blocker at Distance",3,3,NA,0,5.5,-0.259164987,5.53203293,5.5,0,"Goal"
"820",820,"02:17:51:62","02:18:01:62","Shot",820,11,"Pacific",54,"Location 2","6 on 5","Normal","Left","Goal","Field Blocker",4,3,8,-2,3.5,-2.016048861,3.303325977,4.031128874,-0.519146114,"Goal"
"821",821,"02:18:01:82","02:18:11:82","Shot",821,10,"UCI",23,"Location 5","Perimeter","Normal","Right","Save","Contested",2,4,NA,2,5.5,2.32575541,5.357604147,5.852349955,0.348771004,"Not Goal"
"822",822,"02:18:12:02","02:18:22:02","Shot",822,10,"UCI",32,"Location 1","6 on 5","Skip","Right","Goal","Blocker at Distance",3,3,NA,0,5.5,0.344985098,5.792948673,5.5,0,"Goal"
"823",823,"02:18:22:22","02:18:32:22","Shot",823,11,"Pacific",23,"Location 5","Perimeter","Lob","Right","Save","Blocker at Distance",1,4,3,2,5.5,1.932841945,5.913537181,5.852349955,0.348771004,"Not Goal"
"824",824,"02:18:32:42","02:18:42:42","Shot",824,10,"UCI",13,"Location 1","Perimeter","Skip","Right","Save","Uncontested",4,2,NA,2,2.5,1.766944916,2.642678059,3.201562119,0.674740942,"Not Goal"
"825",825,"02:18:42:62","02:18:52:62","Shot",825,10,"UCI",22,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,NA,3,5.5,2.730680386,5.025472418,6.264982043,0.499346722,"Not Goal"
"826",826,"02:18:52:82","02:19:02:82","Shot",826,11,"Pacific",16,"Location 1","Perimeter","Skip","Right","Goal","Field Blocker",3,3,7,2,3.5,1.883954798,3.399862071,4.031128874,0.519146114,"Goal"
"827",827,"02:19:03:02","02:19:13:02","Shot",827,10,"UCI",63,"Location 5","Drive","Skip","Right","Goal","Uncontested",5,1,NA,-1,2.5,-0.53016313,2.644141697,2.692582404,-0.380506377,"Goal"
"828",828,"02:19:13:22","02:19:23:22","Shot",828,11,"Pacific",41,"Location 4","Perimeter","Normal","Left","Save","Contested",1,4,8,-2,5.5,-2.079880302,5.032684281,5.852349955,-0.348771004,"Not Goal"
"829",829,"02:19:23:43","02:19:33:43","Shot",829,10,"UCI",68,"Location 2","First Wave","Skip","Right","Goal","Pressured",4,2,NA,0,4.5,-0.348359319,4.180131789,4.5,0,"Goal"
"830",830,"02:19:33:63","02:19:43:63","Shot",830,11,"Pacific",4,"Location 5","6 on 5","Skip","Right","Goal","Pressured",4,2,3,1,1,1.319860257,0.610553799,1.414213562,0.785398163,"Goal"
"831",831,"02:19:43:83","02:19:53:83","Shot",831,10,"UCI",61,"Location 2","Post up","Backhand","Right","Save","Contested",4,3,NA,1,2.5,1.475596954,2.689149102,2.692582404,0.380506377,"Not Goal"
"832",832,"02:19:54:03","02:20:04:03","Shot",832,10,"UCI",33,"Location 2","Transition","Normal","Right","Miss","Blocker at Distance",1,3,NA,-1,5.5,-0.988775465,5.056062361,5.590169944,-0.1798535,"Not Goal"
"833",833,"02:20:04:23","02:20:14:23","Shot",833,11,"Pacific",3,"Location 2","6 on 5","Normal","Right","Field Block","Field Blocker",1,2,15,2,1,2.473059707,0.925732847,2.236067977,1.107148718,"Not Goal"
"834",834,"02:20:14:43","02:20:24:43","Shot",834,10,"UCI",61,"Location 2","6 on 5","Normal","Right","Field Block","Contested",1,3,NA,1,2.5,1.273621564,2.779233297,2.692582404,0.380506377,"Not Goal"
"835",835,"02:20:24:63","02:20:34:63","Shot",835,11,"Pacific",58,"Location 2","Perimeter","Normal","Left","Miss","Field Blocker",1,4,12,-3,4.5,-2.935538773,4.803604233,5.408326913,-0.588002604,"Not Goal"
"836",836,"02:20:34:83","02:20:44:83","Shot",836,10,"UCI",13,"Location 3","6 on 5","Normal","Right","Goal","Field Blocker",3,3,NA,2,2.5,2.156206843,2.819234556,3.201562119,0.674740942,"Goal"
"837",837,"02:20:45:03","02:20:55:03","Shot",837,10,"UCI",54,"Location 4","First Wave","Normal","Left","Goal","Pressured",4,2,NA,-2,3.5,-1.784963241,3.222976621,4.031128874,-0.519146114,"Goal"
"838",838,"02:20:55:24","02:21:05:24","Shot",838,10,"UCI",16,"Location 5","First Wave","Normal","Right","Goal","Pressured",4,2,NA,2,3.5,2.175401613,3.755183406,4.031128874,0.519146114,"Goal"
"839",839,"02:21:05:44","02:21:15:44","Shot",839,11,"Pacific",13,"Location 2","6 on 5","Normal","Right","Miss","Pressured",1,3,7,2,2.5,2.134036774,2.81940979,3.201562119,0.674740942,"Not Goal"
"840",840,"02:21:15:64","02:21:25:64","Shot",840,11,"Pacific",32,"Location 3","Penalty","Normal","Left","Goal","Other",5,1,8,0,5.5,-0.19388004,5.117705774,5.5,0,"Goal"
"841",841,"02:21:25:84","02:21:35:84","Shot",841,10,"Pacific",41,"Location 1","Perimeter","Normal","Left","Goal","Contested",2,3,NA,-2,5.5,-1.864715519,5.218992793,5.852349955,-0.348771004,"Goal"
"842",842,"02:21:36:04","02:21:46:04","Shot",842,11,"Pacific",65,"Location 3","Center","Normal","Right","Save","Contested",3,2,15,0,3.5,0.236470573,3.888922768,3.5,0,"Not Goal"
"843",843,"02:21:46:24","02:21:56:24","Shot",843,10,"UCI",33,"Location 1","Perimeter","Skip","Right","Save","Field Blocker",2,4,NA,-1,5.5,-0.649288556,5.263940362,5.590169944,-0.1798535,"Not Goal"
"844",844,"02:21:56:44","02:22:06:44","Shot",844,11,"Pacific",41,"Location 2","Transition","Lob","Right","Save","Pressured",4,4,5,-2,5.5,-2.449953584,5.197394334,5.852349955,-0.348771004,"Not Goal"
"845",845,"02:22:06:64","02:22:16:64","Shot",845,10,"UCI",63,"Location 4","Center","Normal","Right","Miss","Contested",1,2,NA,-1,2.5,-0.804254044,2.076107856,2.692582404,-0.380506377,"Not Goal"
"846",846,"02:22:16:84","02:22:26:84","Shot",846,11,"Pacific",25,"Location 2","Direct","Normal","Right","Goal","Field Blocker",2,4,3,3,6.5,3.211693758,6.225906109,7.158910532,0.432407776,"Goal"
"847",847,"02:22:27:04","02:22:37:04","Shot",847,11,"Pacific",62,"Location 4","Individual","Normal","Left","Goal","Pressured",5,1,8,0,2.5,-0.361610725,2.846315938,2.5,0,"Goal"
"848",848,"02:22:37:24","02:22:47:24","Shot",848,10,"UCI",68,"Location 2","Quick","Normal","Right","Field Block","Blocker at Distance",1,3,NA,0,4.5,0.244074257,4.370072585,4.5,0,"Not Goal"
"849",849,"02:22:47:44","02:22:57:44","Shot",849,11,"Pacific",64,"Location 2","6 on 5","Normal","Right","Goal","Pressured",4,2,3,1,3.5,0.602754795,3.302065924,3.640054945,0.278299659,"Goal"
"850",850,"02:22:57:64","02:23:07:64","Shot",850,11,"Pacific",63,"Location 4","6 on 5","Unknown","Right","Goal","Pressured",4,3,2,-1,2.5,-0.64680014,2.848900486,2.692582404,-0.380506377,"Goal"
"851",851,"02:23:07:84","02:23:17:84","Shot",851,10,"UCI",57,"Location 2","6 on 5","Normal","Right","Goal","Blocker at Distance",3,3,NA,-2,4.5,-1.729835065,4.698499843,4.924428901,-0.41822433,"Goal"
"852",852,"02:23:18:04","02:23:28:04","Shot",852,11,"Pacific",66,"Location 1","Center","Skip","Right","Goal","Contested",4,3,15,-1,3.5,-1.0234855,3.414585588,3.640054945,-0.278299659,"Goal"
"853",853,"02:23:28:24","02:23:38:24","Shot",853,10,"UCI",62,"Location 1","Center","Normal","Right","Miss","Contested",1,2,NA,0,2.5,-0.259214289,2.235952495,2.5,0,"Not Goal"
"854",854,"02:23:38:45","02:23:48:45","Shot",854,10,"UCI",31,"Location 2","Perimeter","Normal","Right","Field Block","Field Blocker",1,3,NA,1,5.5,0.883877399,5.252216178,5.590169944,0.1798535,"Not Goal"
"855",855,"02:23:48:65","02:23:58:65","Shot",855,10,"UCI",33,"Location 1","Perimeter","Normal","Right","Goal","Field Blocker",3,3,NA,-1,5.5,-0.86335088,5.742217823,5.590169944,-0.1798535,"Goal"
"856",856,"02:23:58:85","02:24:08:85","Shot",856,11,"Pacific",61,"Location 4","Individual","Normal","Right","Goal","Pressured",4,2,3,1,2.5,1.43670583,2.193936593,2.692582404,0.380506377,"Goal"
"857",857,"02:24:09:05","02:24:19:05","Shot",857,10,"UCI",31,"Location 4","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,NA,1,5.5,1.195912757,5.159233505,5.590169944,0.1798535,"Not Goal"
"858",858,"02:24:19:25","02:24:29:25","Shot",858,10,"UCI",42,"Location 4","Transition","Normal","Left","Save","Pressured",3,4,NA,-3,5.5,-3.052649755,5.682868319,6.264982043,-0.499346722,"Not Goal"
"859",859,"02:24:29:45","02:24:39:45","Shot",859,11,"Pacific",23,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,5,2,5.5,1.625322661,5.036191179,5.852349955,0.348771004,"Not Goal"
"860",860,"02:24:39:65","02:24:49:65","Shot",860,11,"Pacific",41,"Location 4","Direct","Normal","Left","Goal","Field Blocker",3,3,8,-2,5.5,-1.658439372,5.68780679,5.852349955,-0.348771004,"Goal"
"861",861,"02:24:49:85","02:24:59:85","Shot",861,10,"UCLA",63,"Location 4","Center","Normal","Right","Goal","Pressured",4,1,NA,-1,2.5,-1.034120256,2.552232654,2.692582404,-0.380506377,"Goal"
"862",862,"02:25:00:05","02:25:10:05","Shot",862,10,"UCLA",33,"Location 1","Perimeter","Skip","Left","Save","Field Blocker",2,4,NA,-1,5.5,-1.341957429,5.216264429,5.590169944,-0.1798535,"Not Goal"
"863",863,"02:25:10:25","02:25:20:25","Shot",863,10,"UCLA",4,"Location 2","6 on 5","Normal","Right","Miss","Pressured",1,2,NA,1,1,1.057534661,1.434821811,1.414213562,0.785398163,"Not Goal"
"864",864,"02:25:20:45","02:25:30:45","Shot",864,11,"Pacific",33,"Location 1","Perimeter","Normal","Right","Save","Field Blocker",2,4,7,-1,5.5,-1.214523319,5.098987697,5.590169944,-0.1798535,"Not Goal"
"865",865,"02:25:30:65","02:25:40:65","Shot",865,10,"UCLA",34,"Location 2","Perimeter","Normal","Right","Miss","Contested",1,4,NA,1,6.5,1.269306132,6.718869976,6.576473219,0.152649328,"Not Goal"
"866",866,"02:25:40:85","02:25:50:85","Shot",866,10,"UCLA",63,"Location 5","First Wave","Skip","Right","Goal","Uncontested",5,1,NA,-1,2.5,-1.101199846,2.695662829,2.692582404,-0.380506377,"Goal"
"867",867,"02:25:51:05","02:26:01:05","Shot",867,11,"Pacific",13,"Location 2","6 on 5","Normal","Right","Miss","Field Blocker",1,3,7,2,2.5,1.755048315,2.052619551,3.201562119,0.674740942,"Not Goal"
"868",868,"02:26:01:25","02:26:11:25","Shot",868,11,"UCLA",31,"Location 4","Perimeter","Normal","Right","Goal","Blocker at Distance",3,3,NA,1,5.5,0.557321268,5.449539292,5.590169944,0.1798535,"Goal"
"869",869,"02:26:11:45","02:26:21:45","Shot",869,10,"UCLA",13,"Location 4","First Wave","Skip","Right","Goal","Uncontested",5,1,NA,2,2.5,1.704681622,2.820132003,3.201562119,0.674740942,"Goal"
"870",870,"02:26:21:66","02:26:31:66","Shot",870,10,"UCLA",61,"Location 1","6 on 5","Skip","Right","Goal","Pressured",5,1,NA,1,2.5,0.838304228,2.947150827,2.692582404,0.380506377,"Goal"
"871",871,"02:26:31:86","02:26:41:86","Shot",871,11,"Pacific",52,"Location 5","Perimeter","Skip","Right","Save","Field Blocker",2,4,10,-3,2.5,-3.461831724,2.616097314,3.905124838,-0.876058051,"Not Goal"
"872",872,"02:26:42:06","02:26:52:06","Shot",872,11,"Pacific",31,"Location 3","Direct","Normal","Right","Goal","Field Blocker",3,4,5,1,5.5,0.969763959,5.838775692,5.590169944,0.1798535,"Goal"
"873",873,"02:26:52:26","02:27:02:26","Shot",873,10,"UCLA",66,"Location 2","6 on 5","Normal","Right","Goal","Contested",4,2,NA,-1,3.5,-1.49363306,3.339951606,3.640054945,-0.278299659,"Goal"
"874",874,"02:27:02:46","02:27:12:46","Shot",874,11,"Pacific",42,"Location 2","Perimeter","Lob","Right","Save","Field Blocker",2,4,10,-3,5.5,-2.518400056,5.827672653,6.264982043,-0.499346722,"Not Goal"
"875",875,"02:27:12:66","02:27:22:66","Shot",875,11,"Pacific",23,"Location 4","Perimeter","Normal","Right","Save","Field Blocker",2,4,5,2,5.5,2.221759733,5.634972388,5.852349955,0.348771004,"Not Goal"
"876",876,"02:27:22:86","02:27:32:86","Shot",876,11,"Pacific",41,"Location 4","Perimeter","Normal","Left","Miss","Contested",1,4,8,-2,5.5,-1.565170315,5.669265538,5.852349955,-0.348771004,"Not Goal"
"877",877,"02:27:33:06","02:27:43:06","Shot",877,10,"UCLA",63,"Location 5","6 on 5","Normal","Right","Goal","Uncontested",5,1,NA,-1,2.5,-1.114134524,2.182243061,2.692582404,-0.380506377,"Goal"
"878",878,"02:27:43:26","02:27:53:26","Shot",878,11,"Pacific",65,"Location 2","Drive","Lob","Right","Save","Contested",3,3,15,0,3.5,0.245448824,3.58053978,3.5,0,"Not Goal"
"879",879,"02:27:53:46","02:28:03:46","Shot",879,11,"Pacific",7,"Location 2","6 on 5","Normal","Left","Save","Field Blocker",2,4,8,-2,1,-1.692711357,1.285309769,2.236067977,-1.107148718,"Not Goal"
"880",880,"02:28:03:66","02:28:13:66","Shot",880,10,"UCLA",12,"Location 1","Perimeter","Skip","Right","Goal","Field Blocker",3,3,NA,3,2.5,2.939178794,2.259983793,3.905124838,0.876058051,"Goal"
"881",881,"02:28:13:86","02:28:23:86","Shot",881,10,"UCLA",31,"Location 2","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,NA,1,5.5,1.304615038,5.690405974,5.590169944,0.1798535,"Not Goal"
"882",882,"02:28:24:06","02:28:34:06","Shot",882,11,"Pacific",63,"Location 2","Post up","Lob","Left","Goal","Contested",4,3,8,-1,2.5,-0.624086745,2.436928129,2.692582404,-0.380506377,"Goal"
"883",883,"02:28:34:27","02:28:44:27","Shot",883,11,"Pacific",13,"Location 3","6 on 5","Normal","Right","Save","Field Blocker",2,3,5,2,2.5,2.299057599,2.608074867,3.201562119,0.674740942,"Not Goal"
"884",884,"02:28:44:47","02:28:54:47","Shot",884,11,"Pacific",54,"Location 4","6 on 5","Normal","Left","Field Block","Field Blocker",1,3,8,-2,3.5,-1.840537292,3.922433037,4.031128874,-0.519146114,"Not Goal"
"885",885,"02:28:54:67","02:29:04:67","Shot",885,10,"UCLA",54,"Location 4","6 on 5","Normal","Left","Miss","Field Blocker",1,3,NA,-2,3.5,-1.843711875,3.143669655,4.031128874,-0.519146114,"Not Goal"
"886",886,"02:29:04:87","02:29:14:87","Shot",886,11,"Pacific",23,"Location 4","Perimeter","Normal","Left","Goal","Contested",4,4,8,2,5.5,1.58402006,5.606793294,5.852349955,0.348771004,"Goal"
"887",887,"02:29:15:07","02:29:25:07","Shot",887,11,"Pacific",57,"Location 4","Perimeter","Normal","Right","Miss","Contested",1,4,10,-2,4.5,-1.590591582,4.770238712,4.924428901,-0.41822433,"Not Goal"
"888",888,"02:29:25:27","02:29:35:27","Shot",888,10,"UCLA",63,"Location 5","Center","Backhand","Right","Goal","Contested",4,3,NA,-1,2.5,-1.039231796,2.589978686,2.692582404,-0.380506377,"Goal"
"889",889,"02:29:35:47","02:29:45:47","Shot",889,11,"Pacific",54,"Location 1","Perimeter","Skip","Left","Field Block","Field Blocker",1,3,8,-2,3.5,-1.932905151,3.515809143,4.031128874,-0.519146114,"Not Goal"
"890",890,"02:29:45:67","02:29:55:67","Shot",890,11,"Pacific",32,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",4,2,5,0,5.5,0.435482215,5.36000225,5.5,0,"Goal"
"891",891,"02:29:55:87","02:30:05:87","Shot",891,10,"UCLA",22,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,NA,3,5.5,3.219859949,5.429862403,6.264982043,0.499346722,"Not Goal"
"892",892,"02:30:06:07","02:30:16:07","Shot",892,10,"UCLA",32,"Location 1","Penalty","Skip","Right","Save","Other",5,1,NA,0,5.5,0.44951514,5.440023981,5.5,0,"Not Goal"
"893",893,"02:30:16:27","02:30:26:27","Shot",893,11,"Pacific",63,"Location 2","Quick","Normal","Left","Miss","Uncontested",1,1,8,-1,2.5,-1.277479157,2.466772781,2.692582404,-0.380506377,"Not Goal"
"894",894,"02:30:26:47","02:30:36:47","Shot",894,10,"UCLA",51,"Location 3","Post up","Backhand","Left","Goal","Contested",4,3,NA,-2,2.5,-1.599748506,2.225737299,3.201562119,-0.674740942,"Goal"
"895",895,"02:30:36:67","02:30:46:67","Shot",895,11,"Pacific",36,"Location 5","Perimeter","Skip","Right","Miss","Field Blocker",1,4,5,-1,6.5,-0.84635781,6.525078945,6.576473219,-0.152649328,"Not Goal"
"896",896,"02:30:46:87","02:30:56:87","Shot",896,10,"UCLA",23,"Location 1","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,NA,2,5.5,1.917250657,5.594744687,5.852349955,0.348771004,"Not Goal"
"897",897,"02:30:57:08","02:31:07:08","Shot",897,11,"Pacific",32,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",3,3,10,0,5.5,-0.049915612,5.274649452,5.5,0,"Goal"
"898",898,"02:31:07:28","02:31:17:28","Shot",898,10,"UCLA",52,"Location 4","Perimeter","Normal","Left","Field Block","Field Blocker",1,3,NA,-3,2.5,-3.233872311,2.155972507,3.905124838,-0.876058051,"Not Goal"
"899",899,"02:31:17:48","02:31:27:48","Shot",899,10,"UCLA",61,"Location 3","Double Post","Normal","Right","Save","Contested",3,2,NA,1,2.5,0.8177525,2.387344665,2.692582404,0.380506377,"Not Goal"
"900",900,"02:31:27:68","02:31:37:68","Shot",900,11,"Pacific",32,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",3,3,15,0,5.5,0.378443688,5.506065774,5.5,0,"Goal"
